home|"首页"
about_us|"关于我们"
contact_us|"联系我们"
case|"成功案例"
our_service|"我们的服务"

forgotten_password|"忘记密码"
input_email|"请输入电子邮箱地址"
my_application|"我的申请"
forgotten_password_email_sent|"忘记密码邮件已经送出，请注意查收！"
application_details|"申请细节"
user_details|"用户细节"
login_details|"登录信息"
start_date|"开始日期"
end_date|"结束日期"
birthday|"生日"
passport_information|"护照信息"
passport_no|"护照号码"
passport_name|"姓名"
visa_status|"目前签证信息"
uk_address|"英国地址"
cn_address|"中国地址"
organization|"公司/学校名称"
passport|"护照"
work_study_information|"目前工作学习状况"

submit|"提交"
prev|"上一步"
next|"下一步"
file|"文件"

required_error|"请填写本项目!"
pinyin_error|"请填写拼音!"

first_name|"名"
last_name|"姓"
first_name_pinyin|"名（拼音）"
last_name_pinyin|"姓（拼音）"
password|"密码"
phone|"电话"
email|"邮箱"
confirm_code|"确认码"
status|"状态"
qq|"QQ号码"
register|"注册"
save|"保存"
confirm|"确认"

login|"登录"
my_users|"我的客户"
no_records|"无记录"
profile|"个人信息"
application|"申请"
user|"用户"
logout|"退出"
wrong_email_password|"用户名或密码错误！"
not_activated|"账号尚未激活，请耐心等待！"
registered|"注册成功！请告知咨询员如下代码："
already_activated|"用户已激活"
user_activated|"用户激活成功!"

create|"创建"
type|"类型"
visa_europe|"欧洲签证"
visa_t1|"T1签证"
visa_t2|"T2签证"
visa_t4|"T4签证"
visa_other|"其他签证"
school|"学校申请"
language|"GCSE"
gcse|"初中GCSE"
a-level|"高中A Level"
pre-bachelor|"预科"
bachelor|"本科"
master|"硕士"
pre-master|"硕士预科"
doctor|"博士"

activate_user|"激活用户"

applications_to_fill_in|"您有申请需要填写！"

customer|"客户"
assignee|"对应人"
application_submitted|"申请已经提交！"

created|"创建"
in_progress|"提交中"
submitted|"提交"
confirmed|"确认"
sent|"提出"
replied|"回复"
done|"完成"

paid|"支付"
yes|"是"
no|"否"

delete|"删除"
confirm_yes_no|"确定要进行此操作？"
item_deleted|"记录已经被删除。"
new|"新建"

email_invalid|"电子邮件格式不正确！"
password_length|"密码长度必须介于6和12个字符之间"
complete_form|"请填写下列表格！"
registration_detail|"详细项目"
input_first_name|"请填写姓名！"
input_last_name|"请填写姓名！"
input_phone|"请填写电话号码！"
input_password|"请填写密码！"

no_file|"无文件"
